conv_id,turn_id,score_mean,score_std,score_min,score_max
hobby_level1_dial18,1,72.52445681,0.9696773699145371,71.36727,75.29528
hobby_level1_dial18,2,72.66760607,1.7974618081563252,70.56465,77.49542
hobby_level1_dial18,3,73.21434937000002,1.0999995834840086,72.21888,77.89295
hobby_level1_dial18,4,70.78877931,1.2238282395247768,69.56515,75.58195
hobby_level1_dial18,5,72.10126480999999,0.7734326963829842,71.31901,75.571754
hobby_level1_dial18,6,70.88884507999998,0.6448653986840307,70.2261,73.28103
food_level1_dial12,1,70.00943394999999,1.3898213381875923,68.732956,76.37887
food_level1_dial12,2,69.3629646,1.6870123121541056,67.71649,75.51597
food_level1_dial12,3,72.10759166,1.840344559247062,70.165764,78.62848
food_level1_dial12,4,74.83205516,1.5444038451608624,73.31873,79.33098
food_level1_dial12,5,72.34251543,1.2583696532026847,70.80165,75.76812
food_level1_dial12,6,77.50935199,1.7038191393552524,75.77872,83.57062
top25_dial52,1,74.19862483,0.7830380681861785,73.46925,77.20311
top25_dial52,2,72.90082858,0.7298282112357563,72.2298,76.18408
hobby_level3_dial36,1,72.91673095,1.1904285549289333,71.62389,76.10426
hobby_level3_dial36,2,72.26457611999999,1.0699215086274063,71.09341,76.50421
hobby_level3_dial36,3,71.67292867999998,0.5099910913433463,71.14665,73.960464
food_level3_dial3,1,76.64361449,1.294977451047813,75.14212,79.97685
food_level3_dial3,2,73.66457271,0.9978595634664967,72.52381,77.815926
food_level3_dial3,3,74.99157885999999,1.8101708879342524,73.48894,83.54051
food_level3_dial3,4,80.94736665,2.8033987002655665,78.20946,89.38071
food_level3_dial3,5,75.2719643,1.2043700132489061,73.67564,79.544785
food_level3_dial3,6,76.6666489,1.3863247948957231,75.0641,80.873955
hobby_level2_dial22,1,71.08978014,0.5277325993167383,70.43109,72.901566
hobby_level2_dial22,2,71.45462758,0.8895934074077236,70.54589,74.25297
hobby_level2_dial22,3,75.0647483,0.9089661138197227,74.268295,78.50859
hobby_level2_dial22,4,69.98694687999999,0.8461180605325398,69.17673,74.51354
hobby_level2_dial22,5,77.79727614999999,1.1942165681018275,76.83278,83.24179
hobby_level2_dial22,6,72.24715309,0.6316436217656772,71.56028,75.73811
food_level2_dial5,1,77.49063249,2.003373467386675,74.2227,81.530106
food_level2_dial5,2,81.32498315000001,0.9529829622607455,80.00863,84.38062
food_level2_dial5,3,81.0069707,1.6062290199231577,79.420204,86.335526
food_level1_dial13,1,74.04113379,1.4480722755919422,72.23347,78.00499
food_level1_dial13,2,80.74998659,2.6898805148753766,78.28127,87.42182
food_level1_dial13,3,69.90166101,0.7801253828592356,69.106415,72.454544
hobby_level3_dial37,1,67.04053636000002,1.1430616094684352,65.790474,70.2285
hobby_level3_dial37,2,69.51295518,0.7282941848009824,68.81526,73.504845
hobby_level3_dial37,3,76.38007198,1.0928686978882594,75.33063,80.24417
hobby_level3_dial37,4,82.38151825999999,0.9332040120236483,81.12141,85.153564
hobby_level3_dial37,5,79.97155871000001,1.9561274052451352,78.55777,87.04647
hobby_level3_dial37,6,81.89152185,0.8172437572356169,81.03352,84.6544
hobby_level3_dial10,1,72.78954612000001,2.1369682479190057,70.81914,79.86713
hobby_level3_dial10,2,76.07012311,1.8161806001257736,74.598724,82.699905
hobby_level3_dial10,3,78.98949411000001,0.8823835218395221,78.1448,82.434296
hobby_level3_dial10,4,84.13545945,0.9715117295068276,83.02957,88.801025
food_level2_dial13,1,76.13217364,1.3168347553756057,74.720245,80.46138
food_level2_dial13,2,78.66823249999999,1.3882109231600974,77.14406,82.31872
food_level2_dial13,3,76.79216048,1.5335161885498862,75.23396,81.925995
food_level2_dial13,4,78.7077315,1.565864539392584,77.14434,83.19515
food_level2_dial13,5,75.70686193,0.7346705635204703,74.86633,78.61018
food_level2_dial13,6,78.15931418999999,1.0052066774815394,76.7472,80.576324
food_level3_dial30,1,68.9048868,1.0575242366433784,67.99347,73.60176
food_level3_dial30,2,76.09508505,0.7795195150872923,75.282104,79.2867
food_level3_dial30,3,72.26773695,1.1459220275683113,71.357445,78.10586
food_level3_dial30,4,73.15890481,1.2762200061632452,71.97981,78.253746
food_level3_dial30,5,71.87511339000001,1.7008046358954045,70.46832,77.74025
food_level3_dial30,6,80.75173455999999,1.0754166299236056,79.63721,84.61086
food_level3_dial30,7,76.18388518,0.8737646270410057,75.25815,80.18002
food_level1_dial14,1,73.33214611,1.5191376024775889,71.71705,79.55408
food_level1_dial14,2,74.55281268,1.7381240880547684,72.92929,82.74533
food_level1_dial14,3,76.38431984,2.1206881830684012,73.960464,83.386505
food_level1_dial14,4,74.80461769,1.3524984762070218,73.31168,78.94069
food_level1_dial14,5,72.39606622000001,1.1569713527267875,71.20808,75.44662
food_level1_dial14,6,76.90756520999999,1.2862187116536616,75.6756,81.748
hobby_level1_dial19,1,66.66682635000001,0.8168482854506504,65.7767,69.39921
hobby_level1_dial19,2,74.41715460999998,1.3696761432375597,72.96729,79.62889
hobby_level1_dial19,3,75.06445208999999,1.8988651062726647,73.12202,80.762985
hobby_level1_dial19,4,74.83857772999998,1.2861299091472518,73.41705,79.26166
hobby_level1_dial19,5,81.77690495,1.0909559526815136,80.72771,85.63778
hobby_level1_dial19,6,81.20227357,1.781901420851895,79.19529,86.78335
top25_dial53,1,72.28046911,1.6850310275221636,70.58477,77.27884
top25_dial53,2,70.40999860000002,0.7641178408655558,69.5649,73.4267
top25_dial53,3,72.32103268,1.3011617089585208,71.19943,78.656845
top25_dial53,4,70.55710445,0.9978508999093644,69.500946,74.3566
top25_dial53,5,77.16081841,1.3553352525165427,76.00534,84.59021
top25_dial53,6,74.45983006,0.7831553790660167,73.645424,77.075165
food_level3_dial31,1,75.69500013000001,1.2107862326568695,74.51842,82.48484
food_level3_dial31,2,69.52299456,1.1162412405336515,68.52184,74.3337
food_level3_dial31,3,70.02334229,0.8939067086009062,69.09084,73.1205
food_level3_dial31,4,77.12982679,1.5186734489735323,75.51823,83.62834
food_level3_dial31,5,73.07624604,1.2069516330109167,71.66691,76.639465
food_level3_dial31,6,76.43339376,1.310197816957974,74.85641,79.791214
hobby_level1_dial2,1,75.47522777,0.8879055684648437,74.40606,78.94177
hobby_level1_dial2,2,73.03987992,2.076459862267015,71.56055,80.02755
hobby_level1_dial2,3,74.72618197999999,1.672476183202033,72.828705,83.14528
hobby_level1_dial2,4,75.55369597,1.611564587226943,73.85216,79.53343
hobby_level1_dial2,5,75.68507976,1.696471213410408,74.2641,81.960884
hobby_level1_dial2,6,72.06241828,0.8453651252306312,71.134415,75.65445
food_level2_dial14,1,69.14064422999999,0.9297092940824231,68.23601,73.87089
food_level2_dial14,2,72.0141426,1.0327488306546562,71.03682,75.95358
food_level2_dial14,3,76.02805628,2.155808534480143,73.5597,85.71732
food_level2_dial14,4,76.17885885999999,1.842638422897456,74.60625,85.51506
food_level2_dial14,5,77.31071789,1.610134227629597,75.52739,82.956856
food_level2_dial14,6,72.99456267,0.7746516227241518,72.01698,75.41192
hobby_level3_dial38,1,71.43268743,2.6918104535773066,68.55731,77.88611
hobby_level3_dial38,2,66.94862608,1.0596350408441642,65.78269,71.1943
hobby_level3_dial38,3,68.03290434,0.9931363489039287,66.98206,71.57948
hobby_level3_dial38,4,77.30683337999999,2.148052862089738,75.21736,83.24662
hobby_level3_dial38,5,73.32863127,0.9152285832953081,72.13196,76.77612
hobby_level3_dial38,6,76.17096973999999,1.1470199862856318,74.89459,80.506256
hobby_level2_dial23,1,71.65128351,1.3822055968950677,70.178566,76.600136
hobby_level2_dial23,2,69.83947952,0.9419282746527091,68.9086,73.36653
hobby_level2_dial23,3,73.02886218000002,2.137878633162478,70.76778,79.13428
