conv_id,turn_id,num_unique_titles,num_retrieved_documents
food_level2_dial6,3,8,100
food_level2_dial6,4,22,100
food_level2_dial6,5,30,100
food_level2_dial6,6,58,100
hobby_level1_dial21,1,27,100
hobby_level1_dial21,2,32,100
hobby_level1_dial21,3,30,100
hobby_level1_dial21,4,21,100
hobby_level1_dial21,5,25,100
hobby_level1_dial21,6,29,100
food_level3_dial35,1,37,100
food_level3_dial35,2,36,100
food_level3_dial35,3,38,100
food_level3_dial35,4,43,100
food_level3_dial35,5,47,100
food_level3_dial35,6,54,100
hobby_level3_dial16,1,35,100
hobby_level3_dial16,2,49,100
hobby_level3_dial16,3,60,100
hobby_level3_dial16,4,93,100
hobby_level3_dial16,5,84,100
hobby_level3_dial16,6,70,100
hobby_level3_dial6,1,34,100
hobby_level3_dial6,2,25,100
hobby_level3_dial6,3,28,100
hobby_level3_dial6,4,68,100
hobby_level3_dial6,5,27,100
hobby_level3_dial6,6,36,100
food_level2_dial7,1,47,100
food_level2_dial7,2,44,100
food_level2_dial7,3,56,100
food_level2_dial7,4,43,100
food_level2_dial7,5,45,100
food_level2_dial7,6,35,100
hobby_level1_dial22,1,41,100
hobby_level1_dial22,2,79,100
hobby_level1_dial22,3,55,100
hobby_level1_dial22,4,43,100
hobby_level1_dial22,5,45,100
hobby_level1_dial22,6,39,100
food_level1_dial19,1,34,100
food_level1_dial19,2,30,100
food_level1_dial19,3,33,100
food_level1_dial19,4,63,100
top25_dial55,1,74,100
top25_dial55,2,50,100
top25_dial55,3,73,100
top25_dial55,4,45,100
top25_dial55,5,97,100
top25_dial55,6,37,100
food_level3_dial36,1,42,100
food_level3_dial36,2,21,100
food_level3_dial36,3,19,100
food_level3_dial36,4,24,100
food_level3_dial36,5,34,100
food_level3_dial36,6,67,100
hobby_level3_dial17,1,13,100
hobby_level3_dial17,2,19,100
hobby_level3_dial17,3,43,100
hobby_level3_dial17,4,26,100
hobby_level3_dial17,5,49,100
hobby_level3_dial17,6,74,100
hobby_level1_dial23,1,42,100
hobby_level1_dial23,2,27,100
hobby_level1_dial23,3,28,100
hobby_level1_dial23,4,28,100
hobby_level1_dial23,5,25,100
hobby_level1_dial23,6,60,100
hobby_level3_dial7,1,22,100
hobby_level3_dial7,2,32,100
hobby_level3_dial7,3,33,100
hobby_level3_dial7,4,27,100
hobby_level3_dial7,5,23,100
hobby_level3_dial7,6,26,100
food_level2_dial8,1,61,100
food_level2_dial8,2,31,100
food_level2_dial8,3,33,100
food_level2_dial8,4,33,100
food_level2_dial8,5,49,100
food_level2_dial8,6,46,100
top25_dial27,1,66,100
top25_dial27,2,75,100
top25_dial27,3,41,100
top25_dial27,4,43,100
top25_dial27,5,60,100
top25_dial27,6,51,100
food_level2_dial9,1,15,100
food_level2_dial9,2,19,100
food_level2_dial9,3,32,100
food_level2_dial9,4,62,100
food_level2_dial9,5,45,100
food_level2_dial9,6,52,100
hobby_level2_dial24,1,56,100
hobby_level2_dial24,2,15,100
hobby_level2_dial24,3,19,100
hobby_level2_dial24,4,56,100
hobby_level2_dial24,5,37,100
hobby_level2_dial24,6,19,100
hobby_level2_dial24,7,15,100
hobby_level1_dial3,1,24,100
hobby_level1_dial3,2,27,100
hobby_level1_dial3,3,50,100
hobby_level1_dial3,4,35,100
hobby_level1_dial3,5,35,100
hobby_level1_dial3,6,30,100
food_level1_dial2,1,76,100
food_level1_dial2,2,55,100
food_level1_dial2,3,66,100
food_level1_dial2,4,33,100
food_level1_dial2,5,77,100
food_level1_dial2,6,26,100
food_level1_dial2,7,21,100
food_level2_dial19,1,28,100
food_level2_dial19,2,52,100
food_level2_dial19,3,14,100
food_level2_dial19,4,56,100
food_level2_dial19,5,49,100
food_level2_dial19,6,63,100
hobby_level2_dial25,1,29,100
hobby_level2_dial25,2,32,100
hobby_level2_dial25,3,31,100
hobby_level2_dial25,4,34,100
hobby_level2_dial25,5,58,100
hobby_level2_dial25,6,70,100
hobby_level3_dial18,1,25,100
hobby_level3_dial18,2,8,100
hobby_level3_dial18,3,41,100
hobby_level3_dial18,4,61,100
hobby_level3_dial18,5,26,100
hobby_level3_dial18,6,46,100
food_level3_dial37,1,69,100
food_level3_dial37,2,60,100
food_level3_dial37,3,82,100
food_level3_dial37,4,69,100
food_level3_dial37,5,54,100
food_level3_dial37,6,67,100
hobby_level3_dial8,1,21,100
hobby_level3_dial8,2,22,100
hobby_level3_dial8,3,9,100
hobby_level3_dial8,4,46,100
hobby_level3_dial8,5,16,100
hobby_level3_dial8,6,15,100
food_level3_dial38,1,25,100
food_level3_dial38,2,41,100
food_level3_dial38,3,32,100
food_level3_dial38,4,61,100
food_level3_dial38,5,84,100
food_level3_dial38,6,65,100
top25_dial56,1,22,100
top25_dial56,2,15,100
top25_dial56,3,69,100
top25_dial56,4,54,100
top25_dial56,5,6,100
top25_dial56,6,50,100
top25_dial28,1,60,100
top25_dial28,2,64,100
top25_dial28,3,32,100
top25_dial28,4,80,100
top25_dial28,5,54,100
top25_dial28,6,30,100
top25_dial28,7,16,100
hobby_level1_dial4,1,19,100
hobby_level1_dial4,2,27,100
hobby_level1_dial4,3,52,100
hobby_level1_dial4,4,39,100
hobby_level1_dial4,5,10,100
hobby_level1_dial4,6,23,100
hobby_level1_dial4,7,35,100
hobby_level3_dial9,1,39,100
