conv_id,turn_id,mean_similarity,sum_similarity,num_similarity_pairs,num_retrieved_documents
hobby_level3_dial35,6,0.7691940665245056,3807.5107421875,4950,100
hobby_level3_dial35,7,0.6994008421897888,3462.0341796875,4950,100
food_level1_dial11,1,0.6786079406738281,3359.109375,4950,100
food_level1_dial11,2,0.7471264600753784,3698.27587890625,4950,100
food_level1_dial11,3,0.7626370191574097,3775.05322265625,4950,100
food_level1_dial11,4,0.7054873704910278,3492.16259765625,4950,100
food_level1_dial11,5,0.763595700263977,3779.798828125,4950,100
food_level1_dial11,6,0.6420924663543701,3178.357666015625,4950,100
hobby_level2_dial21,1,0.7347174882888794,3636.8515625,4950,100
hobby_level2_dial21,2,0.7020431756973267,3475.11376953125,4950,100
hobby_level2_dial21,3,0.8250422477722168,4083.959228515625,4950,100
hobby_level2_dial21,4,0.8344961404800415,4130.755859375,4950,100
food_level2_dial4,1,0.7441840171813965,3683.7109375,4950,100
food_level2_dial4,2,0.7445998191833496,3685.76904296875,4950,100
food_level2_dial4,3,0.7265626788139343,3596.4853515625,4950,100
food_level2_dial4,4,0.7579447031021118,3751.826416015625,4950,100
food_level2_dial4,5,0.6900811195373535,3415.901611328125,4950,100
food_level2_dial4,6,0.774167001247406,3832.126708984375,4950,100
hobby_level3_dial1,1,0.6876780986785889,3404.006591796875,4950,100
hobby_level3_dial1,2,0.7401641607284546,3663.8125,4950,100
hobby_level3_dial1,3,0.7250750660896301,3589.12158203125,4950,100
hobby_level3_dial1,4,0.7382446527481079,3654.31103515625,4950,100
hobby_level3_dial1,5,0.7268576622009277,3597.9453125,4950,100
hobby_level3_dial1,6,0.7128893733024597,3528.802490234375,4950,100
hobby_level1_dial18,1,0.8026065230369568,3972.90234375,4950,100
hobby_level1_dial18,2,0.7497962117195129,3711.4912109375,4950,100
hobby_level1_dial18,3,0.6986985802650452,3458.55810546875,4950,100
hobby_level1_dial18,4,0.6954728364944458,3442.590576171875,4950,100
hobby_level1_dial18,5,0.6923575401306152,3427.169677734375,4950,100
hobby_level1_dial18,6,0.6864499449729919,3397.92724609375,4950,100
food_level1_dial12,1,0.6452025175094604,3193.75244140625,4950,100
food_level1_dial12,2,0.7136586308479309,3532.6103515625,4950,100
food_level1_dial12,3,0.718420147895813,3556.1796875,4950,100
food_level1_dial12,4,0.762823760509491,3775.9775390625,4950,100
food_level1_dial12,5,0.7278771996498108,3602.9921875,4950,100
food_level1_dial12,6,0.7455652952194214,3690.54833984375,4950,100
top25_dial52,1,0.7890427708625793,3905.76171875,4950,100
top25_dial52,2,0.7950388789176941,3935.4423828125,4950,100
hobby_level3_dial36,1,0.7389460206031799,3657.78271484375,4950,100
hobby_level3_dial36,2,0.6928938031196594,3429.82421875,4950,100
hobby_level3_dial36,3,0.7380841970443726,3653.516845703125,4950,100
food_level3_dial3,1,0.7758344411849976,3840.38037109375,4950,100
food_level3_dial3,2,0.7451220154762268,3688.35400390625,4950,100
food_level3_dial3,3,0.7608805894851685,3766.35888671875,4950,100
food_level3_dial3,4,0.8085824847221375,4002.4833984375,4950,100
food_level3_dial3,5,0.7770988345146179,3846.63916015625,4950,100
food_level3_dial3,6,0.7556858658790588,3740.64501953125,4950,100
hobby_level2_dial22,1,0.6315878629684448,3126.35986328125,4950,100
hobby_level2_dial22,2,0.6390109062194824,3163.10400390625,4950,100
hobby_level2_dial22,3,0.8029611706733704,3974.65771484375,4950,100
hobby_level2_dial22,4,0.822120189666748,4069.494873046875,4950,100
hobby_level2_dial22,5,0.786526620388031,3893.306884765625,4950,100
hobby_level2_dial22,6,0.8139779567718506,4029.19091796875,4950,100
food_level2_dial5,1,0.7191668748855591,3559.8759765625,4950,100
