conv_id,turn_id,maxidf,num_terms
hobby_level3_dial38,6,15.665683736152912,13
hobby_level2_dial23,1,7.661986397058545,5
hobby_level2_dial23,2,7.661986397058545,6
hobby_level2_dial23,3,7.661986397058545,4
hobby_level2_dial23,4,14.279389375033022,7
hobby_level2_dial23,5,13.873924266924858,10
hobby_level2_dial23,6,15.665683736152912,7
hobby_level3_dial11,1,12.89309501391313,4
hobby_level3_dial11,2,13.363098643158867,9
hobby_level3_dial11,3,7.338199319964647,6
hobby_level3_dial11,4,13.873924266924858,16
hobby_level3_dial11,5,12.530189520223763,5
hobby_level3_dial11,6,12.530189520223763,5
hobby_level3_dial11,7,10.541719756749654,8
food_level1_dial15,1,11.246843128356314,4
food_level1_dial15,2,11.246843128356314,5
food_level1_dial15,3,11.246843128356314,8
food_level1_dial15,4,11.246843128356314,5
food_level1_dial15,5,11.246843128356314,4
food_level1_dial15,6,11.246843128356314,8
food_level3_dial32,1,15.665683736152912,5
food_level3_dial32,2,15.665683736152912,5
food_level3_dial32,3,15.665683736152912,7
food_level3_dial32,4,15.665683736152912,4
food_level3_dial32,5,15.665683736152912,10
food_level3_dial32,6,15.665683736152912,7
top25_dial25,1,14.279389375033022,7
top25_dial25,2,13.719773587097599,5
top25_dial25,3,13.719773587097599,7
top25_dial25,4,13.719773587097599,7
top25_dial25,5,9.995802813172393,7
top25_dial25,6,9.995802813172393,9
hobby_level3_dial4,1,7.215485413560954,5
hobby_level3_dial4,2,14.567071447484803,4
hobby_level3_dial4,3,15.665683736152912,6
hobby_level1_dial20,1,14.972536555592967,4
hobby_level1_dial20,2,11.928014117869544,5
hobby_level1_dial20,3,5.022332415834316,7
hobby_level1_dial20,4,15.665683736152912,12
hobby_level1_dial20,5,11.928014117869544,7
hobby_level1_dial20,6,2.5998356852958513,3
food_level2_dial15,1,14.972536555592967,6
food_level2_dial15,2,7.070234046770907,5
food_level2_dial15,3,13.586242194473076,5
food_level2_dial15,4,15.665683736152912,5
food_level2_dial15,5,5.609990250727453,8
food_level2_dial15,6,13.180777086364913,5
food_level3_dial33,1,13.873924266924858,8
food_level3_dial33,2,6.364863011048355,7
food_level3_dial33,3,14.972536555592967,5
food_level3_dial33,4,14.972536555592967,9
hobby_level3_dial13,1,11.881494102234651,7
hobby_level3_dial13,2,15.665683736152912,17
hobby_level3_dial13,3,14.056245823718813,8
hobby_level3_dial13,4,5.326363538892224,5
hobby_level3_dial13,5,7.058284276850526,6
hobby_level3_dial13,6,12.231696531667767,4
food_level1_dial16,1,14.972536555592967,7
food_level1_dial16,2,8.77101369671943,7
food_level1_dial16,3,3.7122027628039023,4
food_level1_dial16,4,14.567071447484803,5
food_level1_dial16,5,14.972536555592967,9
food_level1_dial16,6,14.972536555592967,5
food_level2_dial16,1,6.870404365958341,5
food_level2_dial16,2,7.709206938116131,7
food_level2_dial16,3,7.709206938116131,5
food_level2_dial16,4,7.709206938116131,4
food_level2_dial16,5,13.267788463354542,4
food_level2_dial16,6,5.115014410610468,11
hobby_level3_dial5,1,14.567071447484803,9
hobby_level3_dial5,2,14.567071447484803,6
hobby_level3_dial5,3,14.567071447484803,10
hobby_level3_dial5,4,14.567071447484803,6
hobby_level3_dial5,5,14.567071447484803,6
hobby_level3_dial5,6,3.9424811383753977,7
food_level3_dial34,1,9.985511127135846,6
food_level3_dial34,2,15.665683736152912,6
food_level3_dial34,3,11.296235883685892,7
food_level3_dial34,4,9.985511127135846,6
food_level3_dial34,5,9.985511127135846,7
food_level3_dial34,6,15.665683736152912,4
food_level1_dial17,1,5.531640172587121,4
food_level1_dial17,2,10.559738262252331,4
food_level1_dial17,3,5.531640172587121,5
food_level1_dial17,4,8.397460714993347,3
food_level1_dial17,5,14.056245823718813,7
food_level1_dial17,6,8.397460714993347,6
food_level2_dial17,1,6.555605786115124,7
food_level2_dial17,2,10.80587133179124,4
food_level2_dial17,3,13.180777086364913,5
food_level2_dial17,4,15.665683736152912,7
food_level2_dial17,5,7.199783839124225,5
