conv_id,turn_id,maxscq,num_terms
hobby_level3_dial38,6,72.87705707459706,13
hobby_level2_dial23,1,75.23927467146812,5
hobby_level2_dial23,2,75.23927467146812,6
hobby_level2_dial23,3,75.23927467146812,4
hobby_level2_dial23,4,75.23927467146812,7
hobby_level2_dial23,5,75.23927467146812,10
hobby_level2_dial23,6,75.23927467146812,7
hobby_level3_dial11,1,62.277965682729636,4
hobby_level3_dial11,2,73.74553767545126,9
hobby_level3_dial11,3,69.97285629287718,6
hobby_level3_dial11,4,73.98846278652002,16
hobby_level3_dial11,5,71.55946225554264,5
hobby_level3_dial11,6,66.11711039916227,5
hobby_level3_dial11,7,80.96941751612583,8
food_level1_dial15,1,75.50829966926341,4
food_level1_dial15,2,75.50829966926341,5
food_level1_dial15,3,75.50829966926341,8
food_level1_dial15,4,75.50829966926341,5
food_level1_dial15,5,75.50829966926341,4
food_level1_dial15,6,76.21917218673437,8
food_level3_dial32,1,70.1138775058453,5
food_level3_dial32,2,70.1138775058453,5
food_level3_dial32,3,59.63042217299111,7
food_level3_dial32,4,68.9446149742586,4
food_level3_dial32,5,73.74553767545126,10
food_level3_dial32,6,68.80652578508396,7
top25_dial25,1,77.65767449625483,7
top25_dial25,2,75.11727511779495,5
top25_dial25,3,75.11727511779495,7
top25_dial25,4,68.0322971832823,7
top25_dial25,5,75.11727511779495,7
top25_dial25,6,71.00621692146488,9
hobby_level3_dial4,1,74.2718337371097,5
hobby_level3_dial4,2,74.2718337371097,4
hobby_level3_dial4,3,74.2718337371097,6
hobby_level1_dial20,1,67.54856237018085,4
hobby_level1_dial20,2,67.54856237018085,5
hobby_level1_dial20,3,59.66979001639715,7
hobby_level1_dial20,4,73.74553767545126,12
hobby_level1_dial20,5,73.74553767545126,7
hobby_level1_dial20,6,38.02376035778892,3
food_level2_dial15,1,73.22727025026364,6
food_level2_dial15,2,73.22727025026364,5
food_level2_dial15,3,43.43826745781169,5
food_level2_dial15,4,64.04874122636963,5
food_level2_dial15,5,66.2192673853075,8
food_level2_dial15,6,64.04874122636963,5
food_level3_dial33,1,72.77290596222096,8
food_level3_dial33,2,70.65624904735445,7
food_level3_dial33,3,62.75167254475419,5
food_level3_dial33,4,73.19012570279138,9
hobby_level3_dial13,1,66.83308130626732,7
hobby_level3_dial13,2,60.56313607900918,17
hobby_level3_dial13,3,77.1153630724849,8
hobby_level3_dial13,4,64.390956823653,5
hobby_level3_dial13,5,73.19012570279138,6
hobby_level3_dial13,6,59.58305251017857,4
food_level1_dial16,1,71.59369518335927,7
food_level1_dial16,2,75.04396076389666,7
food_level1_dial16,3,53.14976528889742,4
food_level1_dial16,4,53.14976528889742,5
food_level1_dial16,5,74.40236436749402,9
food_level1_dial16,6,45.082555700121155,5
food_level2_dial16,1,71.43947357795447,5
food_level2_dial16,2,73.88679815885193,7
food_level2_dial16,3,73.51511258103672,5
food_level2_dial16,4,73.51511258103672,4
food_level2_dial16,5,73.51511258103672,4
food_level2_dial16,6,60.56313607900918,11
hobby_level3_dial5,1,67.58439770719737,9
hobby_level3_dial5,2,64.62950380233356,6
hobby_level3_dial5,3,72.60820517139966,10
