conv_id,turn_id,num_retrieved_docs,num_evidence_docs,num_prev_evidence_docs,found_ratio,ndcg@1,ndcg@5,ndcg@10,ndcg@20,ndcg@50
top25_dial50,3,100,1,3,1,1.0,1.0,1.0,1.0,1.0
top25_dial50,4,100,2,7,1,1.0,0.9197207891481876,0.9197207891481876,0.9197207891481876,0.9197207891481876
top25_dial50,5,100,1,9,1,0.0,0.38685280723454163,0.38685280723454163,0.38685280723454163,0.38685280723454163
top25_dial50,6,100,1,11,1,0.0,0.43067655807339306,0.43067655807339306,0.43067655807339306,0.43067655807339306
hobby_level3_dial34,1,100,1,0,1,0.0,0.43067655807339306,0.43067655807339306,0.43067655807339306,0.43067655807339306
hobby_level3_dial34,2,100,2,1,1,0.0,0.6934264036172708,0.6934264036172708,0.6934264036172708,0.6934264036172708
hobby_level3_dial34,3,100,1,3,1,0.0,0.0,0.0,0.26264953503719357,0.26264953503719357
hobby_level3_dial34,4,100,1,4,1,0.0,0.43067655807339306,0.43067655807339306,0.41110846323900097,0.41110846323900097
hobby_level3_dial34,5,100,2,6,1,0.0,0.0,0.0,0.0,0.19195872000656014
hobby_level3_dial34,6,100,1,8,1,1.0,1.0,1.0,1.0,1.0
food_level1_dial10,1,100,1,0,1,1.0,1.0,1.0,1.0,1.0
food_level1_dial10,2,100,1,1,1,1.0,1.0,1.0,1.0,1.0
food_level1_dial10,3,100,1,2,1,1.0,0.8503449055347546,0.8503449055347546,0.8503449055347546,0.8503449055347546
food_level1_dial10,4,100,2,3,1,0.0,0.6934264036172708,0.6934264036172708,0.6934264036172708,0.6934264036172708
food_level1_dial10,5,100,3,6,0,0.0,0.0,0.0,0.0,0.0
food_level1_dial10,6,100,1,9,1,0.0,0.5,0.5,0.5,0.5
food_level2_dial38,1,100,4,0,1,0.0,0.5,0.5,0.5,0.5
food_level2_dial38,2,100,1,4,0,0.0,0.0,0.0,0.0,0.0
food_level2_dial38,3,100,2,5,1,1.0,1.0,1.0,1.0,1.0
food_level2_dial38,4,100,1,6,1,1.0,1.0,1.0,1.0,1.0
food_level2_dial38,5,100,1,7,1,0.0,0.0,0.0,0.24465054211822604,0.24465054211822604
food_level2_dial38,6,100,2,8,1,0.0,0.38685280723454163,0.38685280723454163,0.38685280723454163,0.37692324725602444
food_level2_dial38,7,100,2,12,1,0.0,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.5130672146973186
top25_dial24,1,100,2,0,1,0.0,0.0,0.2890648263178879,0.2890648263178879,0.2890648263178879
top25_dial24,2,100,2,2,1,0.0,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575
top25_dial24,3,100,1,4,1,0.0,0.38685280723454163,0.38685280723454163,0.38685280723454163,0.3746921840832935
top25_dial24,4,100,1,5,1,0.0,0.6309297535714575,0.5640920940185894,0.5640920940185894,0.5640920940185894
top25_dial24,5,100,1,6,1,1.0,1.0,1.0,1.0,1.0
top25_dial24,6,100,1,7,1,0.0,0.43067655807339306,0.43067655807339306,0.43067655807339306,0.43067655807339306
food_level3_dial29,1,100,1,0,1,1.0,1.0,1.0,1.0,1.0
food_level3_dial29,2,100,1,1,1,0.0,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575
food_level3_dial29,3,100,1,2,1,0.0,0.5,0.5,0.4676164214719373,0.4676164214719373
food_level3_dial29,4,100,2,3,1,0.0,0.7328286204777911,0.7328286204777911,0.7328286204777911,0.7328286204777911
food_level3_dial29,5,100,1,5,1,0.0,0.43067655807339306,0.43067655807339306,0.4210080669505208,0.4210080669505208
food_level3_dial29,6,100,1,6,1,1.0,0.8503449055347546,0.8503449055347546,0.8503449055347546,0.8503449055347546
hobby_level2_dial9,1,100,1,0,1,1.0,1.0,1.0,1.0,1.0
hobby_level2_dial9,2,100,3,1,1,1.0,1.0,1.0,1.0,1.0
hobby_level2_dial9,3,100,1,4,1,0.0,0.5,0.5,0.5,0.5
hobby_level2_dial9,4,100,1,7,1,1.0,1.0,1.0,1.0,1.0
hobby_level2_dial9,5,100,2,8,1,1.0,1.0,0.9010126104210695,0.8450342709444747,0.8450342709444747
top25_dial51,1,100,2,0,1,0.0,0.5706417189553201,0.5706417189553201,0.5706417189553201,0.5706417189553201
top25_dial51,2,100,2,2,1,1.0,0.9197207891481876,0.8395700624665824,0.8395700624665824,0.8395700624665824
top25_dial51,3,100,2,4,1,1.0,1.0,1.0,0.6847004033855801,0.6847004033855801
top25_dial51,4,100,1,6,1,0.0,0.0,0.3010299956639812,0.3010299956639812,0.3010299956639812
top25_dial51,5,100,2,7,1,1.0,1.0,1.0,1.0,1.0
top25_dial51,6,100,1,9,1,0.0,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575
hobby_level3_dial35,1,100,1,0,1,0.0,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575
hobby_level3_dial35,2,100,2,1,1,0.0,0.43067655807339306,0.43067655807339306,0.43067655807339306,0.43067655807339306
hobby_level3_dial35,3,100,2,3,1,0.0,0.0,0.0,0.0,0.20584683246043448
hobby_level3_dial35,4,100,2,5,1,1.0,0.9674679834891693,0.9674679834891693,0.9674679834891693,0.9674679834891693
hobby_level3_dial35,5,100,0,8,0,0.0,0.0,0.0,0.0,0.0
hobby_level3_dial35,6,100,1,9,1,1.0,0.9197207891481876,0.86034433104172,0.86034433104172,0.86034433104172
hobby_level3_dial35,7,100,2,12,1,0.0,0.43067655807339306,0.48580027541592796,0.48580027541592796,0.48580027541592796
food_level1_dial11,1,100,1,0,1,1.0,1.0,1.0,1.0,1.0
food_level1_dial11,2,100,1,1,1,1.0,0.9197207891481876,0.9197207891481876,0.9197207891481876,0.9197207891481876
food_level1_dial11,3,100,4,2,1,1.0,0.9674679834891693,0.9438661545147249,0.9438661545147249,0.9438661545147249
food_level1_dial11,4,100,2,6,1,0.0,0.0,0.0,0.0,0.0
