conv_id,turn_id,n_sigma_50,sigma_50,query_length,num_retrieved_documents,num_filtered_documents
food_level1_dial1,2,0.261641190184334,1.7551424608983648,45,100,100
hobby_level1_dial17,1,0.43853697804670766,1.315610934140123,9,100,100
hobby_level1_dial17,2,0.1785996047721757,1.0566095110622504,35,100,100
hobby_level1_dial17,3,0.13801953118698998,1.1297385521739645,67,100,100
hobby_level1_dial17,4,0.12342645437707908,1.3964109258855144,128,100,100
hobby_level1_dial17,5,0.09356106877984689,1.2930396961904933,191,100,100
hobby_level1_dial17,6,0.16454651382971916,2.5755603326870293,245,100,100
top25_dial23,1,0.2375742764260251,0.8229814346825769,12,100,100
top25_dial23,2,0.10843736794318629,0.8469229178344413,61,100,100
top25_dial23,3,0.09567190695035462,0.9519234549963635,99,100,100
top25_dial23,4,0.08978555342822896,1.0848829698379223,146,100,100
top25_dial23,5,0.0878188219602855,1.1782131336428983,180,100,100
top25_dial23,6,0.06288738947325229,0.9537344827544615,230,100,100
food_level3_dial28,1,0.3101708350877595,0.8206348935874387,7,100,100
food_level3_dial28,2,0.20665984538359336,1.2739368447340265,38,100,100
food_level3_dial28,3,0.13497158729397252,1.266145720344065,88,100,100
food_level3_dial28,4,0.09023010198200392,1.012830382770993,126,100,100
food_level3_dial28,5,0.07471535264791786,1.018981554966677,186,100,100
food_level3_dial28,6,0.09346685408625797,1.3608979375066117,212,100,100
hobby_level2_dial20,1,1.1082132790183161,3.1345004983793237,8,100,100
hobby_level2_dial20,2,0.1361168951954908,1.009469912216958,55,100,100
hobby_level2_dial20,3,0.15251894898969043,1.4549380440017716,91,100,100
hobby_level2_dial20,4,0.09760537489385365,1.0602657622332368,118,100,100
hobby_level2_dial20,5,0.07931409136289216,1.0249639456178161,167,100,100
hobby_level2_dial20,6,0.09361546870352772,1.3239226548844292,200,100,100
top25_dial50,1,0.18769278184575416,0.6501868687415752,12,100,100
top25_dial50,2,0.15721934258436543,1.0546594121894057,45,100,100
top25_dial50,3,0.1073722790968217,1.0520291852276695,96,100,100
top25_dial50,4,0.06643706249597692,0.7661895818409095,133,100,100
top25_dial50,5,0.07385769818484308,0.9515898751421855,166,100,100
top25_dial50,6,0.05585926867558946,0.837889030133842,225,100,100
hobby_level3_dial34,1,0.7277428419476814,1.782598626734725,6,100,100
hobby_level3_dial34,2,0.23459514606602502,1.2413608305471497,28,100,100
hobby_level3_dial34,3,0.11741445120550917,1.0436024697169801,79,100,100
hobby_level3_dial34,4,0.08887964055355382,0.9364051185502518,111,100,100
hobby_level3_dial34,5,0.08520838906529155,1.0401009400525567,149,100,100
hobby_level3_dial34,6,0.12756935099290953,1.8835388953191192,218,100,100
food_level1_dial10,1,0.5713950434348439,1.7141851303045317,9,100,100
food_level1_dial10,2,0.23001491104301233,1.45474202939387,40,100,100
food_level1_dial10,3,0.14661724555896935,1.235418870410452,71,100,100
food_level1_dial10,4,0.14700629909317756,1.5063663090937216,105,100,100
food_level1_dial10,5,0.06782471723159311,0.8082247843214596,142,100,100
food_level1_dial10,6,0.1011197295072305,1.415676213101227,196,100,100
food_level2_dial38,1,0.4767688060011158,1.3485058231264102,8,100,100
food_level2_dial38,2,0.12743831504070577,0.8736730707761721,47,100,100
food_level2_dial38,3,0.17617280772571195,1.5953126248233527,82,100,100
food_level2_dial38,4,0.14159505645507917,1.6753753017614854,140,100,100
food_level2_dial38,5,0.07778900734502522,1.049431083396065,182,100,100
food_level2_dial38,6,0.0734699086095628,1.074772105525105,214,100,100
food_level2_dial38,7,0.06868432669788845,1.109629256805593,261,100,100
top25_dial24,1,0.3142720821812954,0.9428162465438862,9,100,100
top25_dial24,2,0.12351746350136071,0.8734003603677404,50,100,100
top25_dial24,3,0.14907432315222638,1.3984411093964269,88,100,100
top25_dial24,4,0.21239905197797862,2.3072442781758067,118,100,100
top25_dial24,5,0.06694261488320338,0.819876242557456,150,100,100
