conv_id,turn_id,nqc,num_retrieved_documents,score_mean,score_std
hobby_level1_dial2,5,0.022414869863254118,100,75.68507976,1.696471213410408
hobby_level1_dial2,6,0.011731012439048989,100,72.06241828,0.8453651252306312
food_level2_dial14,1,0.0134466391575655,100,69.14064422999999,0.9297092940824231
food_level2_dial14,2,0.014340916844501266,100,72.0141426,1.0327488306546562
food_level2_dial14,3,0.028355434032676326,100,76.02805628,2.155808534480143
food_level2_dial14,4,0.02418831747379966,100,76.17885885999999,1.842638422897456
food_level2_dial14,5,0.02082679182879331,100,77.31071789,1.610134227629597
food_level2_dial14,6,0.010612456522635288,100,72.99456267,0.7746516227241518
hobby_level3_dial38,1,0.037683174894058535,100,71.43268743,2.6918104535773066
hobby_level3_dial38,2,0.015827584565782687,100,66.94862608,1.0596350408441642
hobby_level3_dial38,3,0.014597882576652153,100,68.03290434,0.9931363489039287
hobby_level3_dial38,4,0.02778606713239738,100,77.30683337999999,2.148052862089738
hobby_level3_dial38,5,0.012481190054201159,100,73.32863127,0.9152285832953081
hobby_level3_dial38,6,0.01505849262784549,100,76.17096973999999,1.1470199862856318
hobby_level2_dial23,1,0.019290730454286423,100,71.65128351,1.3822055968950677
hobby_level2_dial23,2,0.013487046025063348,100,69.83947952,0.9419282746527091
hobby_level2_dial23,3,0.029274434372167535,100,73.02886218000002,2.137878633162478
hobby_level2_dial23,4,0.019824572284586423,100,74.82187692999999,1.483311707667214
hobby_level2_dial23,5,0.015315569516592645,100,73.96517366,1.1328187589965772
hobby_level2_dial23,6,0.017865044340136003,100,78.18698962,1.3968140363830535
hobby_level3_dial11,1,0.015420152479988803,100,69.22286735,1.0674271696390385
hobby_level3_dial11,2,0.007306462087203163,100,78.56941401,0.574064444677834
hobby_level3_dial11,3,0.025280946249895842,100,75.17887986000001,1.9005932208680374
hobby_level3_dial11,4,0.014608191142102349,100,75.18082269,1.0982558280760253
hobby_level3_dial11,5,0.017787195753643147,100,73.52385407,1.3077831849053823
hobby_level3_dial11,6,0.01223655924440635,100,70.89920394,0.8675623093930582
hobby_level3_dial11,7,0.010976062706772479,100,70.45435051,0.7733113691626876
food_level1_dial15,1,0.02064623916925657,100,80.38991116,1.659749332604648
food_level1_dial15,2,0.016798739332870516,100,75.82500942,1.2737645681590313
food_level1_dial15,3,0.01764492398442068,100,77.07467554,1.359976791027188
food_level1_dial15,4,0.017091637552458714,100,77.26282196999999,1.320548149391384
food_level1_dial15,5,0.015712983471660197,100,78.38133068,1.2316045534615723
food_level1_dial15,6,0.015172561773987236,100,73.76999973,1.1192798779704467
food_level3_dial32,1,0.01836465952448747,100,72.81518046,1.3372259973620126
food_level3_dial32,2,0.020645516943854907,100,75.94015756,1.5678238096239914
food_level3_dial32,3,0.02157648730708789,100,79.15247491999999,1.7078323704359726
food_level3_dial32,4,0.01258253675616895,100,78.94233834999999,0.9932948739068005
food_level3_dial32,5,0.028338780315003337,100,79.35975613000001,2.2489586948203097
food_level3_dial32,6,0.027663521455632258,100,74.79655277,2.0691360423602254
top25_dial25,1,0.01305969309910763,100,72.97083794999999,0.9529767488117161
top25_dial25,2,0.017276466044898374,100,74.51825594,1.2874121184724567
top25_dial25,3,0.01328617012116384,100,74.75223031,0.99317084883508
top25_dial25,4,0.0096150863084068,100,77.17770828,0.7420703261972422
top25_dial25,5,0.011822550359182418,100,75.95665756,0.8980014091182739
top25_dial25,6,0.008761820271726237,100,74.82480106000001,0.655601458755391
hobby_level3_dial4,1,0.017309511331075323,100,68.18345209,1.1802222365436865
hobby_level3_dial4,2,0.014321865326173026,100,69.5425656,0.995979258959753
hobby_level3_dial4,3,0.009614695082867327,100,75.39761349999999,0.7249250637783812
hobby_level1_dial20,1,0.020480838784674767,100,74.65021335,1.5288989848629262
hobby_level1_dial20,2,0.017560032376653826,100,73.28459741999997,1.286879903405241
hobby_level1_dial20,3,0.00888818626742795,100,72.15295585000001,0.6413089113403053
hobby_level1_dial20,4,0.009463861581603493,100,76.9571765,0.7283120661070293
hobby_level1_dial20,5,0.022185723432466366,100,78.41808610999999,1.739761970539792
hobby_level1_dial20,6,0.01978503228928708,100,70.17806223999999,1.3884752274179983
food_level2_dial15,1,0.02595446328145678,100,71.31083994,1.8508345767925714
food_level2_dial15,2,0.012502330255494676,100,65.6738736,0.821076456904813
food_level2_dial15,3,0.011491729943678333,100,76.50939246,0.8792252763052193
food_level2_dial15,4,0.017513280979590682,100,76.52551208,1.340212795164101
food_level2_dial15,5,0.011709935435852857,100,71.4114504,0.8362234735646087
food_level2_dial15,6,0.023489388493349774,100,76.05062898999999,1.7863827695097185
food_level3_dial33,1,0.01979447328307993,100,70.98515167,1.4051136882271915
food_level3_dial33,2,0.02027868712756429,100,73.8538028,1.4976581601620313
food_level3_dial33,3,0.012543805466617878,100,72.66761132,0.9115283801218792
food_level3_dial33,4,0.013349772465813863,100,72.81683017999998,0.9720881145848077
hobby_level3_dial13,1,0.036066448606231774,100,71.54263214999999,2.5802886655925197
hobby_level3_dial13,2,0.016550997582641672,100,75.65764454,1.252209491889903
hobby_level3_dial13,3,0.011827381232111979,100,71.70281148,0.8480564867882152
hobby_level3_dial13,4,0.03572823042021609,100,75.47000233,2.6964096330604854
hobby_level3_dial13,5,0.02166339213469446,100,76.47699756,1.6567511874263514
hobby_level3_dial13,6,0.009916108607458516,100,80.39291386,0.7971848651058169
food_level1_dial16,1,0.014608313624527886,100,74.64482985000001,1.0904350848983209
food_level1_dial16,2,0.014649619997618438,100,77.02545929,1.128393708740529
food_level1_dial16,3,0.017350841725889268,100,75.63760839000001,1.3123761716996842
food_level1_dial16,4,0.014174546652685973,100,77.10284667,1.0928978971788084
food_level1_dial16,5,0.03499224334468826,100,75.30134945,2.634963144137808
food_level1_dial16,6,0.016634042273326956,100,76.38778036,1.2706375676738546
