bootstrap_id,feature_combination,metric_name,value
66,regression,f1,0.3280757097791798
66,regression,accuracy,0.5756972111553785
67,regression,auc,0.6203237772090751
67,regression,ap,0.23042470619278246
67,regression,f1,0.3032258064516129
67,regression,accuracy,0.5697211155378487
68,regression,auc,0.5269472481432109
68,regression,ap,0.18418621965174067
68,regression,f1,0.24390243902439024
68,regression,accuracy,0.5059760956175299
69,regression,auc,0.5625575097930962
69,regression,ap,0.21557628582868227
69,regression,f1,0.29545454545454547
69,regression,accuracy,0.5059760956175299
70,regression,auc,0.5709693649373883
70,regression,ap,0.20409454345062933
70,regression,f1,0.26198083067092653
70,regression,accuracy,0.5398406374501992
71,regression,auc,0.5043093983311373
71,regression,ap,0.20011579278643163
71,regression,f1,0.22712933753943218
71,regression,accuracy,0.5119521912350598
72,regression,auc,0.5677426438296003
72,regression,ap,0.2217516173751971
72,regression,f1,0.24422442244224424
72,regression,accuracy,0.5438247011952191
73,regression,auc,0.5782078807779742
73,regression,ap,0.177469660313714
73,regression,f1,0.25084745762711863
73,regression,accuracy,0.5597609561752988
74,regression,auc,0.5605114219524354
74,regression,ap,0.20668176716161485
74,regression,f1,0.2564102564102564
74,regression,accuracy,0.5378486055776892
75,regression,auc,0.5765402843601896
75,regression,ap,0.18358958672881073
75,regression,f1,0.25609756097560976
75,regression,accuracy,0.5139442231075697
76,regression,auc,0.5282616753150482
76,regression,ap,0.17603178127787403
76,regression,f1,0.21359223300970873
76,regression,accuracy,0.5159362549800797
77,regression,auc,0.6041268522365324
77,regression,ap,0.25035969044413364
77,regression,f1,0.2994011976047904
77,regression,accuracy,0.5338645418326693
78,regression,auc,0.5647641831852358
78,regression,ap,0.191690667231523
78,regression,f1,0.27414330218068533
78,regression,accuracy,0.5358565737051793
79,regression,auc,0.5446585419411507
79,regression,ap,0.19037133441261128
79,regression,f1,0.2911392405063291
79,regression,accuracy,0.5537848605577689
80,regression,auc,0.5523310387984981
80,regression,ap,0.21073414174233748
80,regression,f1,0.2934131736526946
80,regression,accuracy,0.5298804780876494
81,regression,auc,0.502389959238732
81,regression,ap,0.16682260194470394
81,regression,f1,0.22699386503067484
81,regression,accuracy,0.49800796812749004
82,regression,auc,0.5860449735449735
82,regression,ap,0.171889626139543
82,regression,f1,0.2268041237113402
82,regression,accuracy,0.5517928286852589
83,regression,auc,0.5126887340301974
83,regression,ap,0.16807515920919142
83,regression,f1,0.2214765100671141
83,regression,accuracy,0.5378486055776892
84,regression,auc,0.4824841310687939
84,regression,ap,0.15375670459415297
84,regression,f1,0.18421052631578946
84,regression,accuracy,0.5059760956175299
85,regression,auc,0.5723815639269406
85,regression,ap,0.1546524290369723
85,regression,f1,0.2033898305084746
85,regression,accuracy,0.5318725099601593
86,regression,auc,0.5868227946916471
86,regression,ap,0.18709435143701614
86,regression,f1,0.25084745762711863
86,regression,accuracy,0.5597609561752988
87,regression,auc,0.57767131242741
87,regression,ap,0.1839589506429508
87,regression,f1,0.2348993288590604
87,regression,accuracy,0.545816733067729
88,regression,auc,0.5380627962085308
88,regression,ap,0.17562455028012522
88,regression,f1,0.2572347266881029
88,regression,accuracy,0.5398406374501992
89,regression,auc,0.5652131782945736
89,regression,ap,0.1807280101160563
89,regression,f1,0.22456140350877193
89,regression,accuracy,0.5597609561752988
90,regression,auc,0.5563159559478966
90,regression,ap,0.2014480535376466
90,regression,f1,0.24437299035369775
90,regression,accuracy,0.5318725099601593
91,regression,auc,0.5910515570635765
91,regression,ap,0.2335251914518005
91,regression,f1,0.25705329153605017
91,regression,accuracy,0.5278884462151394
92,regression,auc,0.5195416348357524
92,regression,ap,0.15817074598454198
92,regression,f1,0.1780821917808219
92,regression,accuracy,0.5219123505976095
93,regression,auc,0.548966065747614
93,regression,ap,0.22316353610182924
93,regression,f1,0.24691358024691357
93,regression,accuracy,0.5139442231075697
94,regression,auc,0.578344030398825
94,regression,ap,0.18156809885412348
94,regression,f1,0.22857142857142856
94,regression,accuracy,0.5697211155378487
95,regression,auc,0.6174402250351618
95,regression,ap,0.21079736654576703
95,regression,f1,0.303951367781155
95,regression,accuracy,0.5438247011952191
96,regression,auc,0.5397808056872038
96,regression,ap,0.16974629105974717
96,regression,f1,0.2564102564102564
96,regression,accuracy,0.5378486055776892
97,regression,auc,0.6111317024956758
97,regression,ap,0.18527923371632354
97,regression,f1,0.2958199356913183
97,regression,accuracy,0.5637450199203188
98,regression,auc,0.5936482801090878
98,regression,ap,0.21668066509545036
98,regression,f1,0.2857142857142857
98,regression,accuracy,0.5717131474103586
99,regression,auc,0.5596899224806201
99,regression,ap,0.15982930774051524
99,regression,f1,0.2188679245283019
99,regression,accuracy,0.5876494023904383
100,regression,auc,0.5817363530778166
100,regression,ap,0.22219799390508108
100,regression,f1,0.2857142857142857
100,regression,accuracy,0.5418326693227091
101,regression,auc,0.5401092896174864
101,regression,ap,0.1649838172860651
101,regression,f1,0.219435736677116
101,regression,accuracy,0.5039840637450199
102,regression,auc,0.6121866777454646
102,regression,ap,0.25196336551294984
102,regression,f1,0.27741935483870966
102,regression,accuracy,0.5537848605577689
103,regression,auc,0.5112717858044961
103,regression,ap,0.16176584556920398
103,regression,f1,0.21153846153846154
103,regression,accuracy,0.5099601593625498
104,regression,auc,0.5916490337142051
104,regression,ap,0.2276960353825589
104,regression,f1,0.2857142857142857
104,regression,accuracy,0.5418326693227091
105,regression,auc,0.5104676345552258
105,regression,ap,0.1813615470962241
105,regression,f1,0.21498371335504887
105,regression,accuracy,0.5199203187250996
106,regression,auc,0.5754041122462175
106,regression,ap,0.23606240335994838
106,regression,f1,0.2882882882882883
106,regression,accuracy,0.5278884462151394
107,regression,auc,0.5021075415812258
107,regression,ap,0.17544170024046368
107,regression,f1,0.23684210526315788
107,regression,accuracy,0.5378486055776892
108,regression,auc,0.5556963662226819
108,regression,ap,0.22021507210373648
108,regression,f1,0.26959247648902823
108,regression,accuracy,0.5358565737051793
109,regression,auc,0.5666727140783745
109,regression,ap,0.1899305849332314
109,regression,f1,0.26666666666666666
109,regression,accuracy,0.5398406374501992
110,regression,auc,0.5108015188834154
110,regression,ap,0.20059457241295536
110,regression,f1,0.26380368098159507
110,regression,accuracy,0.5219123505976095
111,regression,auc,0.5825448868071819
111,regression,ap,0.19354348343709032
111,regression,f1,0.26666666666666666
111,regression,accuracy,0.5398406374501992
112,regression,auc,0.6149749373433584
112,regression,ap,0.2285136463321163
112,regression,f1,0.2912621359223301
112,regression,accuracy,0.5637450199203188
113,regression,auc,0.5387552500954563
113,regression,ap,0.22262377175436415
113,regression,f1,0.2710843373493976
113,regression,accuracy,0.5179282868525896
114,regression,auc,0.5954101803805287
114,regression,ap,0.2050762949606059
114,regression,f1,0.2251655629139073
114,regression,accuracy,0.5338645418326693
115,regression,auc,0.5539396115749469
115,regression,ap,0.17066712462280964
115,regression,f1,0.2328767123287671
115,regression,accuracy,0.5537848605577689
116,regression,auc,0.5201137217737982
116,regression,ap,0.13949205233133044
116,regression,f1,0.18791946308724833
116,regression,accuracy,0.5179282868525896
117,regression,auc,0.5450276175876585
117,regression,ap,0.22375237882902513
117,regression,f1,0.2710843373493976
117,regression,accuracy,0.5179282868525896
118,regression,auc,0.6015679442508711
118,regression,ap,0.21049804507845596
118,regression,f1,0.28134556574923547
118,regression,accuracy,0.5318725099601593
119,regression,auc,0.599816653934301
119,regression,ap,0.20000841190933896
119,regression,f1,0.25675675675675674
119,regression,accuracy,0.5617529880478087
120,regression,auc,0.5476320556689767
120,regression,ap,0.19233337216375593
120,regression,f1,0.24161073825503357
120,regression,accuracy,0.549800796812749
121,regression,auc,0.5706736353077817
121,regression,ap,0.19832245562271988
121,regression,f1,0.254071661237785
121,regression,accuracy,0.5438247011952191
122,regression,auc,0.5897286821705425
122,regression,ap,0.18901429067380698
122,regression,f1,0.2517482517482518
122,regression,accuracy,0.5737051792828686
123,regression,auc,0.5692791005291005
123,regression,ap,0.1853739976853841
123,regression,f1,0.23890784982935154
123,regression,accuracy,0.5557768924302788
124,regression,auc,0.5003740611066224
124,regression,ap,0.16509920074587497
124,regression,f1,0.21262458471760798
124,regression,accuracy,0.5278884462151394
125,regression,auc,0.6151742993848257
125,regression,ap,0.21164593674578422
125,regression,f1,0.31446540880503143
125,regression,accuracy,0.5657370517928287
126,regression,auc,0.5326796445926906
126,regression,ap,0.19293289100050473
126,regression,f1,0.2459546925566343
126,regression,accuracy,0.5358565737051793
127,regression,auc,0.5673915474060822
127,regression,ap,0.22277611892861116
127,regression,f1,0.26440677966101694
127,regression,accuracy,0.5677290836653387
128,regression,auc,0.6120884736112124
128,regression,ap,0.2607765348421637
128,regression,f1,0.3271604938271605
128,regression,accuracy,0.5657370517928287
129,regression,auc,0.5106965174129353
129,regression,ap,0.21006621833983424
