conv_id,turn_id,acc,wacc,mean_similarity,num_edges,num_nodes,num_documents,num_documents_for_network
1109919554091311092,1,0.8168353608934069,0.6130980666773583,0.5496974587440491,701,50,100,50
8505647719348789352,1,0.8015805589267295,0.6778937361800643,0.7563123106956482,798,50,100,50
-8086186598590428328,1,0.7523395423579141,0.568652716799218,0.7188984751701355,696,50,100,50
2217144977440365678,1,0.8539442844458148,0.6434263874753782,0.6168431043624878,679,50,100,50
3141501970999254639,1,0.8224212765106202,0.6395107907384014,0.6267039179801941,668,50,100,50
6267368935580291991,1,0.8129541916819197,0.6118650953962572,0.6776016354560852,677,50,100,50
2375410666129136218,1,0.8229282079891485,0.6321467703344423,0.6453040242195129,644,50,100,50
-1120514028652364195,1,0.7717792606058193,0.6173542455844275,0.69504314661026,603,50,100,50
369553729358573631,1,0.7755736106942795,0.6013028952190203,0.6429369449615479,684,50,100,50
-3521200059945079578,1,0.7945903832992428,0.5568157154486041,0.7724337577819824,681,50,100,50
-228017844504433803,1,0.8237977685224714,0.571890518570204,0.6251522302627563,672,50,100,50
-6567021105969776914,1,0.7782935414613514,0.5516368047991334,0.7119961977005005,651,50,100,50
3191215928530494096,1,0.7821920169511426,0.5795863698888745,0.5956657528877258,672,50,100,50
-2071940157427414850,1,0.7971173830125704,0.5048359822935989,0.5899128317832947,671,50,100,50
-3800524559144424177,1,0.8094098510366123,0.635002501737726,0.647735059261322,652,50,100,50
-6839117089970381436,1,0.777359673735655,0.5402506414644661,0.6948076486587524,647,50,100,50
-4490620988150231901,1,0.8177854335635177,0.6577318442199066,0.7546398043632507,714,50,100,50
1022217780810569079,1,0.7781083316503863,0.5675024466162749,0.6582443714141846,592,50,100,50
-862554052027960093,1,0.8084309464395487,0.567853937774943,0.6380519866943359,683,50,100,50
-3516190339598522976,1,0.7750395432595107,0.43449464910680446,0.67431640625,619,50,100,50
-7748524737773999409,1,0.7785901407942403,0.6301144938720061,0.7034100890159607,729,50,100,50
3388798511401254812,1,0.7964373738495537,0.6245093503379443,0.6461942791938782,705,50,100,50
1459126538041943679,1,0.8352257482052853,0.6224610634078481,0.5960642695426941,695,50,100,50
-8834069158837396685,1,0.7587043563522622,0.5346391867024378,0.604269802570343,655,50,100,50
-1757904552409029500,1,0.784653708841593,0.5835699349930353,0.6491727828979492,656,50,100,50
1004431282200370974,1,0.8454880946973803,0.6191727054077824,0.5521899461746216,746,50,100,50
8184930622224282678,1,0.8289110178682084,0.6015088316741138,0.6211948990821838,763,50,100,50
8631327196287980755,1,0.7987319854678259,0.6074877494002038,0.5807269215583801,690,50,100,50
-2593355371932719161,1,0.7511009547865051,0.5388486297800099,0.6222647428512573,692,50,100,50
2837484115382116119,1,0.7792151018605951,0.6089142074909782,0.6285874843597412,552,50,100,50
7199599312216372048,1,0.8213191084345504,0.650678939370416,0.7280068397521973,696,50,100,50
-8850169184954446631,1,0.7726355479893741,0.55817764545698,0.6257116198539734,688,50,100,50
-3897740693502172696,1,0.8238618369025141,0.6882101970237635,0.7032002210617065,773,50,100,50
-3471432714621884410,1,0.750082237729717,0.5518943529777545,0.6646031737327576,658,50,100,50
6373189865465953269,1,0.7955273594411193,0.5819021203612432,0.6073107123374939,698,50,100,50
8092598956660291215,1,0.8024533964273065,0.5802537040579364,0.6540964841842651,615,50,100,50
62966941368680868,1,0.8169509202248392,0.6079470811164658,0.5451743602752686,640,50,100,50
5133876537670324411,1,0.7811878685225804,0.5779527720256497,0.59421306848526,685,50,100,50
8932763630388059887,1,0.8423955098430217,0.6855300306344836,0.569392204284668,764,50,100,50
8923681797804610584,1,0.8369129557574978,0.6523584632806043,0.6727622151374817,722,50,100,50
-2938945366077744797,1,0.7787978521426502,0.568367838663953,0.6400155425071716,607,50,100,50
3527566788119942912,1,0.7573531738323558,0.5337669823837282,0.6044104695320129,626,50,100,50
618489770509518870,1,0.7469039913760055,0.47721976949025513,0.6014229655265808,637,50,100,50
-652117253746563674,1,0.7748668958313619,0.5535788187386708,0.6040113568305969,676,50,100,50
-2633917229646894638,1,0.807444473875387,0.602206439962159,0.7168876528739929,647,50,100,50
-5955439966878959532,1,0.806147882690668,0.6053168709641219,0.6877591013908386,679,50,100,50
-586025167603300600,1,0.7890403817713364,0.629088586408556,0.680717945098877,668,50,100,50
4647818796298534404,1,0.7990192995604053,0.5818940687200768,0.6127700209617615,717,50,100,50
-7869146853815250428,1,0.7846013855690361,0.6065790252933152,0.6726321578025818,609,50,100,50
7125146488385376967,1,0.8031142950380752,0.5931473797419905,0.7728173136711121,705,50,100,50
